query_idx,db,hardness,Phi-3.5-mini-instruct,Qwen2.5-Coder-7B-Instruct,Yi-Coder-9B-Chat,abl_Qwen2.5-Coder-7B-Instruct_cot,abl_Qwen2.5-Coder-7B-Instruct_fewshot,abl_Qwen2.5-Coder-7B-Instruct_no_schemalink,abl_Qwen2.5-Coder-7B-Instruct_no_selfcorr,deepseek-coder-6.7b-instruct,granite-8b-code-instruct-128k,robust_Qwen2.5-Coder-7B-Instruct_T0.0_r1,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r1,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r2,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r3,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r4,robust_Qwen2.5-Coder-7B-Instruct_T0.4_r5,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r1,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r2,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r3,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r4,robust_Qwen2.5-Coder-7B-Instruct_T0.8_r5
0,concert_singer,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,concert_singer,medium,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,concert_singer,extra,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,concert_singer,hard,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,concert_singer,medium,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
5,concert_singer,hard,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
6,pets_1,medium,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,pets_1,easy,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,pets_1,easy,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,pets_1,extra,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
10,pets_1,hard,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,pets_1,medium,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
12,pets_1,medium,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1
13,pets_1,medium,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
14,pets_1,medium,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,car_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,car_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,car_1,extra,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
18,car_1,hard,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0
19,car_1,medium,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
20,car_1,hard,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
21,car_1,hard,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0
22,car_1,easy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,car_1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,car_1,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,car_1,easy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,car_1,easy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,car_1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,car_1,extra,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
29,car_1,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,car_1,extra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,flight_2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
